public_state,recommended_action,status,type,http_status,google_access,reason,url,final_url,primary_source,source_line,all_sources,fields,item_titles,occurrence_count
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1-utUZE4WCQpyLMJh-eMAnIDxWvP1LTRsKGqtvZum8bc/","https://docs.google.com/document/d/1-utUZE4WCQpyLMJh-eMAnIDxWvP1LTRsKGqtvZum8bc/export?format=txt","assets/js/email_outreach_data.js","716","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/11MZf1XXP8DTUkJjRgwgqTDuUxvjX62Z5R_DZUw2eUsk","https://docs.google.com/document/d/11MZf1XXP8DTUkJjRgwgqTDuUxvjX62Z5R_DZUw2eUsk/export?format=txt","assets/js/email_outreach_data.js","1216","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","4"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/13vIP8luVaRq8KKqMCIDp6YAaHQp1VKFmKCbVnZ-dCiU/","https://docs.google.com/document/d/13vIP8luVaRq8KKqMCIDp6YAaHQp1VKFmKCbVnZ-dCiU/export?format=txt","assets/js/email_outreach_data.js","116","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","4"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/14Iry_h2iGi_9l2Wyff4yCxFSYixDRoB-7VFqVibtsSk/","https://docs.google.com/document/d/14Iry_h2iGi_9l2Wyff4yCxFSYixDRoB-7VFqVibtsSk/export?format=txt","assets/js/email_outreach_data.js","796","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/17MT66SZouTG83eAi2QfYD_wKytGzev--I2i8I6ebfz0/","https://docs.google.com/document/d/17MT66SZouTG83eAi2QfYD_wKytGzev--I2i8I6ebfz0/export?format=txt","assets/js/email_outreach_data.js","516","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1AQ9piBjdRQ2coKtmUMgWb6IDrNqm-VroLezgznP6THs/","https://docs.google.com/document/d/1AQ9piBjdRQ2coKtmUMgWb6IDrNqm-VroLezgznP6THs/export?format=txt","assets/js/email_outreach_data.js","196","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","4"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1BhYSl9BQ-9Bn6r4EIZuz82PQQmQbTZ5K2a_XX96vXaM/","https://docs.google.com/document/d/1BhYSl9BQ-9Bn6r4EIZuz82PQQmQbTZ5K2a_XX96vXaM/export?format=txt","assets/js/email_outreach_data.js","506","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1c4Bn-zg6HqlbD47qL4n9y8DEYZvp0oDk5hCPkFkpyzg/","https://docs.google.com/document/d/1c4Bn-zg6HqlbD47qL4n9y8DEYZvp0oDk5hCPkFkpyzg/export?format=txt","assets/js/email_outreach_data.js","726","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1cqMPdxpUVkpxz6ozsrMMQmA0FSYpRMyY4-omFdr4o00","https://docs.google.com/document/d/1cqMPdxpUVkpxz6ozsrMMQmA0FSYpRMyY4-omFdr4o00/export?format=txt","assets/js/email_outreach_data.js","706","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1D2dmMd-CBXUtpRFxLI_oENf9wR6XdezJdDWI2xNxgBk/edit?usp=drive_link","https://docs.google.com/document/d/1D2dmMd-CBXUtpRFxLI_oENf9wR6XdezJdDWI2xNxgBk/export?format=txt","assets/js/email_outreach_data.js","756","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1Eh6zBt6_-wtVulkUGO_HDKrtmCvo2nGiE45YjrQyIh0/","https://docs.google.com/document/d/1Eh6zBt6_-wtVulkUGO_HDKrtmCvo2nGiE45YjrQyIh0/export?format=txt","assets/js/email_outreach_data.js","416","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1ESg6eiCJbX6l9Nh0gQJhPo0tIEpAN_F9E6Qtb_gR0Ws/","https://docs.google.com/document/d/1ESg6eiCJbX6l9Nh0gQJhPo0tIEpAN_F9E6Qtb_gR0Ws/export?format=txt","assets/js/email_outreach_data.js","406","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1fJ9mdeCmxPi11iB1_IYfCIfRdHB6A1rXyYHQezD-u3o/","https://docs.google.com/document/d/1fJ9mdeCmxPi11iB1_IYfCIfRdHB6A1rXyYHQezD-u3o/export?format=txt","assets/js/email_outreach_data.js","496","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1g-sqsyflNhvDTvy1ZCS7NzqgINffGlZ0IE9xx6FfEis/","https://docs.google.com/document/d/1g-sqsyflNhvDTvy1ZCS7NzqgINffGlZ0IE9xx6FfEis/export?format=txt","assets/js/email_outreach_data.js","806","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","4"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1IBRIIGffUHXNwzjr0L0cCYiwQJ5wXli80MxyrI7Ii_U/","https://docs.google.com/document/d/1IBRIIGffUHXNwzjr0L0cCYiwQJ5wXli80MxyrI7Ii_U/export?format=txt","assets/js/email_outreach_data.js","556","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1iEjVxSpCt9vd4JzqO4Dm2uxiqVkpF8_3845GiM0_bhY","https://docs.google.com/document/d/1iEjVxSpCt9vd4JzqO4Dm2uxiqVkpF8_3845GiM0_bhY/export?format=txt","assets/js/email_outreach_data.js","166","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","4"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1J9nBPS57tRLTBvWm_GDALlK30MU20w54Scmfp_nucwc/","https://docs.google.com/document/d/1J9nBPS57tRLTBvWm_GDALlK30MU20w54Scmfp_nucwc/export?format=txt","assets/js/email_outreach_data.js","426","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1jJkDcqHP5vp6yqgjDoRA-RiT4GdbUcoBF_bxif2-vUI/","https://docs.google.com/document/d/1jJkDcqHP5vp6yqgjDoRA-RiT4GdbUcoBF_bxif2-vUI/export?format=txt","assets/js/email_outreach_data.js","686","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","8"
"not_public_auth_required","re-share, replace, or hide","auth_required","google-doc","401","","private_or_forbidden","https://docs.google.com/document/d/1JONNk5eLGQbTqJipZDOsl7BVIkhYDFqcOWSmfJdRztI/","https://docs.google.com/document/d/1JONNk5eLGQbTqJipZDOsl7BVIkhYDFqcOWSmfJdRztI/export?format=txt","assets/js/email_outreach_data.js","1226","assets/js/email_outreach_data.js | assets/js/marketing_full_data.js | DEPLOY_PUBLIC/assets/js/email_outreach_data.js | DEPLOY_PUBLIC/assets/js/marketing_full_data.js","text-url","","6"
